Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
06/24/2021,25,LTC,"1,982","7,884,473","2,083","1,320","4,649,684","1,270",Report,"1,982","2,083",0,0,0
06/23/2021,25,LTC,"1,886","7,882,491","2,292","1,141","4,648,364","1,387",Report,"1,886","2,292",0,0,0
06/23/2021,25,US,"707,150","326,875,715","650,394","323,909","180,557,340","284,197",Admin,"707,150","650,394","422,167","155,311,603","402,506"
06/23/2021,25,LTC,"2,034","7,889,098","1,106","1,545","4,653,075",777,Admin,"2,034","1,106","1,188","3,192,910",640
06/23/2021,25,US,"648,209","319,872,053","993,840","313,825","177,948,892","413,642",Report,"648,209","993,840","362,628","150,787,303","618,739"
06/22/2021,25,LTC,"1,597","7,887,064","1,146","1,232","4,651,530",781,Admin,"1,597","1,147",984,"3,191,722",686
06/22/2021,25,LTC,483,"7,880,605","2,033",412,"4,647,223","1,227",Report,483,"2,033",0,0,0
06/22/2021,25,US,"728,824","326,168,565","679,693","319,495","180,233,431","288,534",Admin,"728,824","679,694","449,817","154,889,436","428,903"
06/22/2021,25,US,"647,403","319,223,844","1,048,167","292,113","177,635,067","422,989",Report,"647,403","1,048,167","378,669","150,424,675","665,186"
06/21/2021,25,US,"610,033","318,576,441","1,132,945","254,664","177,342,954","444,054",Report,"610,033","1,132,945","378,360","150,046,006","732,381"
06/21/2021,25,LTC,"6,065","7,880,122","2,251","3,288","4,646,811","1,364",Report,"6,065","2,251",0,0,0
06/21/2021,25,LTC,702,"7,885,467","1,205",404,"4,650,298",801,Admin,702,"1,205",348,"3,190,738",717
06/21/2021,25,US,"537,982","325,439,741","710,789","295,232","179,913,936","294,126",Admin,"537,982","710,790","279,328","154,439,619","455,573"
06/20/2021,25,US,"848,611","317,966,408","1,234,838","351,149","177,088,290","463,972",Report,"848,611","1,234,838","542,482","149,667,646","820,917"
